pk,model,party,name,slug
1,core.person,1,בנימין נתניהו,binyamin-netanyahu
2,core.person,1,אביגדור ליברמן,avigdor-liberman
3,core.person,1,גדעון סער,gidon-saar
4,core.person,1,יאיר שמיר,yair-shamir
5,core.person,1,גלעד ארדן,gilad-ardan
6,core.person,1,סילבן שלום,silvan-shalom
7,core.person,1,עוזי לנדאו,uzi-landao
8,core.person,1,ישראל כץ,israel-katz
9,core.person,1,דני דנון,dani-dannon
10,core.person,1,סופה לנדבר,sofa-landver
11,core.person,1,ראובן ריבלין,reuven-rivlin
12,core.person,1,משה (בוגי) יעלון,moshe-yeelon
13,core.person,1,יצחק אהרונוביץ,itshak-ahronovic
14,core.person,1,זאב אלקין,zeev-alkin
15,core.person,1,ציפי חוטובלי,tzipi-hotobeli
16,core.person,1,אורלי לוי-אבקסיס,orli-levy-abeksis
17,core.person,1,יריב לוין,yariv-lewin
18,core.person,1,יולי-יואל אדלשטיין,yuli-edelstein
19,core.person,1,פאינה קירשנבאום,faina-kirschenbaum
20,core.person,1,חיים כץ,chaim-katz
21,core.person,1,מירי רגב,miri-regev
22,core.person,1,דוד רותם,david-rotem
23,core.person,1,משה זלמן פייגלין,moshe-feiglin
24,core.person,1,יובל שטייניץ,yuval-shteinitz
25,core.person,1,רוברט אילטוב,robert-iltov
26,core.person,1,צחי הנגבי,tsachi-hanegbi
27,core.person,1,לימור לבנת,limor-livnat
28,core.person,1,חמד עמאר,hamed-amar
29,core.person,1,אופיר אקוניס,ofir-akunis
30,core.person,1,גילה גמליאל שמעון אוחיון,gila-gamliel
31,core.person,1,שמעון אוחיון,shimon-ohion
32,core.person,2,יאיר לפיד,yair-lapid
33,core.person,2,שי פירון,shai-pirron
34,core.person,2,יעל גרמן,yael-german
35,core.person,2,מאיר כהן,meir-cohen
36,core.person,2,יעקב פרי,yaacov-perry
37,core.person,2,עפר שלח,ofer-shelah
38,core.person,2,עליזה לביא,aliza-lavie
39,core.person,2,יואל רזבוזוב,yoel-razvozov
40,core.person,2,עדי קול,adi-kol
41,core.person,2,קארין אלהרר,karine-elharrar
42,core.person,2,מיקי לוי,miki-levy
43,core.person,2,שמעון סולומון,shimon-solomon
44,core.person,2,רות קלדרון,ruth-kaldaron
45,core.person,2,פנינה תמנו-שטה,pnina-tamano
46,core.person,2,רינה פרנקל,rina-frenkel
47,core.person,2,יפעת קריב,yifat-kariv
48,core.person,2,דב לפימן,dov-lipman
49,core.person,2,בועז טופורובסקי,boaz-toporevski
50,core.person,2,רונן הופמן,ronen-huffman
51,core.person,3,נפתלי בנט,naftali-bennet
52,core.person,3,אורי יהודה אריאל,uri-ariel
53,core.person,3,ניסן סלומינסקי,nissan-slomiansky
54,core.person,3,אלי בן-דהן,eli-ben-dahan
55,core.person,3,איילת שקד,ayelet-shaked
56,core.person,3,אורי אורבך,ori-urbach
57,core.person,3,אבי וורצמן,avi-wertzman
58,core.person,3,מרדכי יוגב,mordechay-yogev
59,core.person,3,אורית סטרוק,orit-struk
60,core.person,3,יוני שטבון,yoni-chetboun
61,core.person,3,שולי מועלם-רפאלי,shuli-mualem-rafaeli
62,core.person,3,זבולון כלפה,zvulun-kalfa
63,core.person,4,ציפי לבני,tsipi-livni
64,core.person,4,עמרם מצנע,amram-mitzna
65,core.person,4,עמיר פרץ,amir-perez
66,core.person,4,אלעזר שטרן,elazar-stern
67,core.person,4,מאיר שטרית,meir-shitrit
68,core.person,4,דוד צור,david-tsur
69,core.person,5,שלי יחימוביץ,shelly-yachimovich
70,core.person,5,יצחק (בוז'י) הרצוג,itshak-hertzog
71,core.person,5,איתן כבל,eitan-cabel
72,core.person,5,מרב מיכאלי,merav-michaeli
73,core.person,5,בנימין (פואד) בן-אליעזר,binyamin-ben-eliezer
74,core.person,5,חיליק בר,hilik-bar
75,core.person,5,עמר בר-לב,omer-bar-lev
76,core.person,5,סתיו שפיר,stav-shaffir
77,core.person,5,אבישי ברוורמן,avishay-braverman
78,core.person,5,אראל מרגלית,erel-margalit
79,core.person,5,איציק שמולי,itsik-shmoli
80,core.person,5,מיקי רוזנטל,miki-rossental
81,core.person,5,מיכל בירן,michal-biran
82,core.person,5,נחמן שי,nahman-shai
83,core.person,5,משה מזרחי,moshe-mizrahi
84,core.person,6,אליהו (אלי) ישי,eli-ishai
85,core.person,6,אריה דרעי,aryeh-derei
86,core.person,6,אריאל אטיאס,ariel-atias
87,core.person,6,יצחק כהן,itshak-cohen
88,core.person,6,משולם נהרי,meshulam-nehari
89,core.person,6,אמנון כהן,amnon-cohen
90,core.person,6,יעקב מרגי,yaacov-margi
91,core.person,6,דוד אזולאי,david-azulay
92,core.person,6,יצחק וקנין,itshak-vaknin
93,core.person,6,נסים זאב,nissim-zeev
94,core.person,6,אברהם מיכאלי,avraham-michaeli
95,core.person,7,יעקב ליצמן,yaacov-litzman
96,core.person,7,משה גפני,moshe-gafni
97,core.person,7,מאיר פרוש,meir-prosh
98,core.person,7,אורי מקלב,uri-makelb
99,core.person,7,מנחם אליעזר מוזס,menahem-moses
100,core.person,7,ישראל אייכלר,israel-eichler
101,core.person,7,יעקב אשר,yaacov-asher
102,core.person,8,זהבה גלאון,zehava-galon
103,core.person,8,אילן גילאון,illan-gillon
104,core.person,8,ניצן הורוביץ,nitzan-horovitz
105,core.person,8,מיכל רוזין,michal-rosin
106,core.person,8,עיסאווי פריג',esawi-freige
107,core.person,8,תמר זנדברג,tamar-zandberg
108,core.person,9,מוחמד ברכה,mohammed-baraka
109,core.person,9,חנא סוייד,hana-sweid
110,core.person,9,דב חנין,dov-hanin
111,core.person,9,עפו אגבאריה,afo-agbaria
112,core.person,10,אברהים צרצור,ibrahim-zarzur
113,core.person,10,אחמד טיבי,ahmed-tibi
114,core.person,10,מסעוד גנאים,masoud-gnaim
115,core.person,10,טלב אבו-עראר,taleb-abu-arar
116,core.person,11,ג'מאל זחאלקה,jmal-zhalke
117,core.person,11,חנין זועבי,hanin-zoabi
118,core.person,11,באסל גטאס,basel-ghattas
119,core.person,12,שאול מופז,shaul-mofaz
120,core.person,12,ישראל חסון,israel-hasson
