pk,model,person,vendor_id
1,facebook_feeds.facebook_feed,68,423544607732681
2,facebook_feeds.facebook_feed,55,237683826350051
3,facebook_feeds.facebook_feed,3,34775063966
4,facebook_feeds.facebook_feed,63,37665519437
5,facebook_feeds.facebook_feed,9,112791015410812
6,facebook_feeds.facebook_feed,21,118410851589072
7,facebook_feeds.facebook_feed,8,335399036546914
8,facebook_feeds.facebook_feed,23,230709873674802
9,facebook_feeds.facebook_feed,11,128211737213526
10,facebook_feeds.facebook_feed,72,213793465311034
11,facebook_feeds.facebook_feed,106,285742004879697
12,facebook_feeds.facebook_feed,70,161648040544835
13,facebook_feeds.facebook_feed,40,294986783934161
14,facebook_feeds.facebook_feed,32,107836625941364
15,facebook_feeds.facebook_feed,29,310448006908
16,facebook_feeds.facebook_feed,46,616484361701607
17,facebook_feeds.facebook_feed,110,295104730523499
18,facebook_feeds.facebook_feed,26,297207456997968
19,facebook_feeds.facebook_feed,41,457794627605948
20,facebook_feeds.facebook_feed,51,396697410351933
21,facebook_feeds.facebook_feed,30,142479632494944
22,facebook_feeds.facebook_feed,102,115028251920872
23,facebook_feeds.facebook_feed,36,129931940492158
24,facebook_feeds.facebook_feed,104,66398526339
25,facebook_feeds.facebook_feed,39,371426819606751
26,facebook_feeds.facebook_feed,71,174411199282819
27,facebook_feeds.facebook_feed,45,336333819807014
28,facebook_feeds.facebook_feed,35,432953930099972
29,facebook_feeds.facebook_feed,16,612784452070209
30,facebook_feeds.facebook_feed,1,268108602075
31,facebook_feeds.facebook_feed,38,402936269773132
32,facebook_feeds.facebook_feed,6,102997256411052
33,facebook_feeds.facebook_feed,83,256097767800645
34,facebook_feeds.facebook_feed,60,318718848205174
35,facebook_feeds.facebook_feed,103,302282753147898
36,facebook_feeds.facebook_feed,47,270537533068364
37,facebook_feeds.facebook_feed,66,408819395854150
38,facebook_feeds.facebook_feed,4,212884635505254
39,facebook_feeds.facebook_feed,48,429433447128257
40,facebook_feeds.facebook_feed,65,154570404606299
41,facebook_feeds.facebook_feed,33,281431865311442
42,facebook_feeds.facebook_feed,42,369855119713388
43,facebook_feeds.facebook_feed,78,167657276622943
44,facebook_feeds.facebook_feed,113,128834187134576
45,facebook_feeds.facebook_feed,81,386001744772337
46,facebook_feeds.facebook_feed,80,520086018021432
47,facebook_feeds.facebook_feed,15,123439757700947
48,facebook_feeds.facebook_feed,18,371855757456
49,facebook_feeds.facebook_feed,75,156632191145120
50,facebook_feeds.facebook_feed,5,207139259326193
51,facebook_feeds.facebook_feed,69,162319074217
52,facebook_feeds.facebook_feed,2,178433145502975
53,facebook_feeds.facebook_feed,85,433095953410548
54,facebook_feeds.facebook_feed,119,201172239926506
55,facebook_feeds.facebook_feed,118,454865187905717
56,facebook_feeds.facebook_feed,49,507647555954176
57,facebook_feeds.facebook_feed,77,212853068767680
58,facebook_feeds.facebook_feed,52,394242203948130
59,facebook_feeds.facebook_feed,34,503855396298871
60,facebook_feeds.facebook_feed,79,404314496289809
61,facebook_feeds.facebook_feed,82,291524437542463
62,facebook_feeds.facebook_feed,37,408265492578926
63,facebook_feeds.facebook_feed,86,270198837993
64,facebook_feeds.facebook_feed,117,127130297401833
65,facebook_feeds.facebook_feed,47,100004832803978
66,facebook_feeds.facebook_feed,19,100000237185239
67,facebook_feeds.facebook_feed,118,720627860
68,facebook_feeds.facebook_feed,76,508516607
69,facebook_feeds.facebook_feed,74,574847197
70,facebook_feeds.facebook_feed,120,781279420
