pk,model,requires_user_token,vendor_id,feed_type,persona,is_current,locally_updated
1,facebook_feeds.facebook_feed,False,423544607732681,PP,1,True,None
2,facebook_feeds.facebook_feed,False,237683826350051,PP,2,True,None
3,facebook_feeds.facebook_feed,False,34775063966,PP,3,False,None
4,facebook_feeds.facebook_feed,False,37665519437,PP,4,True,None
5,facebook_feeds.facebook_feed,False,112791015410812,PP,5,True,None
6,facebook_feeds.facebook_feed,False,118410851589072,PP,6,True,None
7,facebook_feeds.facebook_feed,False,335399036546914,PP,7,True,None
8,facebook_feeds.facebook_feed,False,230709873674802,PP,8,True,None
9,facebook_feeds.facebook_feed,False,128211737213526,PP,9,False,None
10,facebook_feeds.facebook_feed,False,213793465311034,PP,10,True,None
11,facebook_feeds.facebook_feed,False,285742004879697,PP,11,True,None
12,facebook_feeds.facebook_feed,False,161648040544835,PP,12,True,None
13,facebook_feeds.facebook_feed,False,294986783934161,PP,13,True,None
14,facebook_feeds.facebook_feed,False,107836625941364,PP,14,True,None
15,facebook_feeds.facebook_feed,False,310448006908,PP,15,True,None
16,facebook_feeds.facebook_feed,False,616484361701607,PP,16,True,None
17,facebook_feeds.facebook_feed,False,295104730523499,PP,17,True,None
18,facebook_feeds.facebook_feed,False,297207456997968,PP,18,True,None
19,facebook_feeds.facebook_feed,False,457794627605948,PP,19,True,None
20,facebook_feeds.facebook_feed,False,396697410351933,PP,20,True,None
21,facebook_feeds.facebook_feed,False,142479632494944,PP,21,True,None
22,facebook_feeds.facebook_feed,False,115028251920872,PP,22,True,None
23,facebook_feeds.facebook_feed,True,129931940492158,PP,23,True,None
24,facebook_feeds.facebook_feed,False,66398526339,PP,24,True,None
25,facebook_feeds.facebook_feed,False,371426819606751,PP,25,True,None
26,facebook_feeds.facebook_feed,False,174411199282819,PP,26,True,None
27,facebook_feeds.facebook_feed,False,336333819807014,PP,27,True,None
28,facebook_feeds.facebook_feed,False,432953930099972,PP,28,True,None
29,facebook_feeds.facebook_feed,False,612784452070209,PP,29,True,None
30,facebook_feeds.facebook_feed,False,268108602075,PP,30,True,None
31,facebook_feeds.facebook_feed,False,402936269773132,PP,31,True,None
32,facebook_feeds.facebook_feed,False,102997256411052,PP,32,True,None
33,facebook_feeds.facebook_feed,False,256097767800645,PP,33,True,None
34,facebook_feeds.facebook_feed,False,318718848205174,PP,34,True,None
35,facebook_feeds.facebook_feed,False,302282753147898,PP,35,True,None
36,facebook_feeds.facebook_feed,False,270537533068364,PP,36,True,None
37,facebook_feeds.facebook_feed,False,408819395854150,PP,37,True,None
38,facebook_feeds.facebook_feed,False,212884635505254,PP,38,True,None
39,facebook_feeds.facebook_feed,False,429433447128257,PP,39,True,None
40,facebook_feeds.facebook_feed,False,154570404606299,PP,40,True,None
41,facebook_feeds.facebook_feed,False,281431865311442,PP,41,True,None
42,facebook_feeds.facebook_feed,False,369855119713388,PP,42,True,None
43,facebook_feeds.facebook_feed,False,167657276622943,PP,43,True,None
44,facebook_feeds.facebook_feed,False,128834187134576,PP,44,True,None
45,facebook_feeds.facebook_feed,False,386001744772337,PP,45,True,None
46,facebook_feeds.facebook_feed,False,520086018021432,PP,46,True,None
47,facebook_feeds.facebook_feed,False,123439757700947,PP,47,True,None
48,facebook_feeds.facebook_feed,False,371855757456,PP,48,True,None
49,facebook_feeds.facebook_feed,False,156632191145120,PP,49,True,None
50,facebook_feeds.facebook_feed,False,207139259326193,PP,50,True,None
51,facebook_feeds.facebook_feed,False,162319074217,PP,51,True,None
52,facebook_feeds.facebook_feed,False,178433145502975,PP,52,True,None
53,facebook_feeds.facebook_feed,False,433095953410548,PP,53,True,None
54,facebook_feeds.facebook_feed,False,201172239926506,PP,54,True,None
55,facebook_feeds.facebook_feed,False,454865187905717,PP,55,True,None
56,facebook_feeds.facebook_feed,False,507647555954176,PP,56,True,None
57,facebook_feeds.facebook_feed,False,212853068767680,PP,57,True,None
58,facebook_feeds.facebook_feed,False,394242203948130,PP,58,True,None
59,facebook_feeds.facebook_feed,False,503855396298871,PP,59,True,None
60,facebook_feeds.facebook_feed,False,404314496289809,PP,60,True,None
61,facebook_feeds.facebook_feed,False,291524437542463,PP,61,True,None
62,facebook_feeds.facebook_feed,False,408265492578926,PP,62,True,None
63,facebook_feeds.facebook_feed,False,270198837993,PP,63,False,None
64,facebook_feeds.facebook_feed,False,127130297401833,PP,64,True,None
66,facebook_feeds.facebook_feed,False,729097460481331,PP,66,True,None
68,facebook_feeds.facebook_feed,True,508516607,UP,68,True,None
69,facebook_feeds.facebook_feed,False,620206311338749,PP,69,True,None
70,facebook_feeds.facebook_feed,True,1411524072449425,PP,70,True,None
65,facebook_feeds.facebook_feed,False,155726207778990,PP,65,True,None
