pk,model,object_id,content_type,name,new_object_id
52,facebook_feeds.facebook_feed_generic,2,"[""persons"", ""person""]",??????? ??????,214
57,facebook_feeds.facebook_feed_generic,77,"[""persons"", ""person""]",????? ???????,797
15,facebook_feeds.facebook_feed_generic,29,"[""persons"", ""person""]",????? ??????,830
58,facebook_feeds.facebook_feed_generic,52,"[""persons"", ""person""]",???? ????? ?????,713
29,facebook_feeds.facebook_feed_generic,16,"[""persons"", ""person""]",????? ???-??????,832
44,facebook_feeds.facebook_feed_generic,113,"[""persons"", ""person""]",???? ????,208
2,facebook_feeds.facebook_feed_generic,55,"[""persons"", ""person""]",????? ???,904
35,facebook_feeds.facebook_feed_generic,103,"[""persons"", ""person""]",???? ??????,200
60,facebook_feeds.facebook_feed_generic,79,"[""persons"", ""person""]",????? ?????,901
26,facebook_feeds.facebook_feed_generic,71,"[""persons"", ""person""]",???? ???,64
37,facebook_feeds.facebook_feed_generic,66,"[""persons"", ""person""]",????? ????,899
43,facebook_feeds.facebook_feed_generic,78,"[""persons"", ""person""]",???? ??????,882
63,facebook_feeds.facebook_feed_generic,86,"[""persons"", ""person""]",????? ?????,791
53,facebook_feeds.facebook_feed_generic,85,"[""persons"", ""person""]",???? ????,41
55,facebook_feeds.facebook_feed_generic,118,"[""persons"", ""person""]",???? ????,867
56,facebook_feeds.facebook_feed_generic,49,"[""persons"", ""person""]",???? ??????????,872
30,facebook_feeds.facebook_feed_generic,1,"[""persons"", ""person""]",?????? ??????,90
3,facebook_feeds.facebook_feed_generic,3,"[""persons"", ""person""]",????? ???,725
21,facebook_feeds.facebook_feed_generic,30,"[""persons"", ""person""]",???? ??????,723
50,facebook_feeds.facebook_feed_generic,5,"[""persons"", ""person""]",???? ????,734
17,facebook_feeds.facebook_feed_generic,110,"[""persons"", ""person""]",?? ????,780
39,facebook_feeds.facebook_feed_generic,48,"[""persons"", ""person""]",?? ?????,877
1,facebook_feeds.facebook_feed_generic,68,"[""persons"", ""person""]",??? ???,890
5,facebook_feeds.facebook_feed_generic,9,"[""persons"", ""person""]",??? ????,828
22,facebook_feeds.facebook_feed_generic,102,"[""persons"", ""person""]",???? ?????,201
