pk,model,main_feed,content_type,alt_content_type,alt_object_id,object_id
1,facebook_feeds.facebook_persona,1,"[u'mks', u'member']",None,None,890
2,facebook_feeds.facebook_persona,2,"[u'mks', u'member']","[u'polyorg', u'candidate']",904,904
3,facebook_feeds.facebook_persona,3,"[u'mks', u'member']",None,None,725
4,facebook_feeds.facebook_persona,4,"[u'mks', u'member']","[u'polyorg', u'candidate']",213,213
5,facebook_feeds.facebook_persona,5,"[u'mks', u'member']","[u'polyorg', u'candidate']",828,828
6,facebook_feeds.facebook_persona,6,"[u'mks', u'member']","[u'polyorg', u'candidate']",831,831
7,facebook_feeds.facebook_persona,7,"[u'mks', u'member']","[u'polyorg', u'candidate']",69,69
8,facebook_feeds.facebook_persona,8,"[u'mks', u'member']",None,None,885
9,facebook_feeds.facebook_persona,9,"[u'mks', u'member']",None,None,114
10,facebook_feeds.facebook_persona,10,"[u'mks', u'member']","[u'polyorg', u'candidate']",881,881
11,facebook_feeds.facebook_persona,11,"[u'mks', u'member']","[u'polyorg', u'candidate']",888,888
12,facebook_feeds.facebook_persona,12,"[u'mks', u'member']","[u'polyorg', u'candidate']",740,740
13,facebook_feeds.facebook_persona,13,"[u'mks', u'member']",None,None,891
14,facebook_feeds.facebook_persona,14,"[u'mks', u'member']","[u'polyorg', u'candidate']",878,878
15,facebook_feeds.facebook_persona,15,"[u'mks', u'member']","[u'polyorg', u'candidate']",830,830
16,facebook_feeds.facebook_persona,16,"[u'mks', u'member']",None,None,889
17,facebook_feeds.facebook_persona,17,"[u'mks', u'member']","[u'polyorg', u'candidate']",780,780
18,facebook_feeds.facebook_persona,18,"[u'mks', u'member']","[u'polyorg', u'candidate']",45,45
19,facebook_feeds.facebook_persona,19,"[u'mks', u'member']","[u'polyorg', u'candidate']",860,860
20,facebook_feeds.facebook_persona,20,"[u'mks', u'member']","[u'polyorg', u'candidate']",864,864
21,facebook_feeds.facebook_persona,21,"[u'mks', u'member']","[u'polyorg', u'candidate']",723,723
22,facebook_feeds.facebook_persona,22,"[u'mks', u'member']","[u'polyorg', u'candidate']",201,201
23,facebook_feeds.facebook_persona,23,"[u'mks', u'member']","[u'polyorg', u'candidate']",887,887
24,facebook_feeds.facebook_persona,24,"[u'mks', u'member']",None,None,843
25,facebook_feeds.facebook_persona,25,"[u'mks', u'member']","[u'polyorg', u'candidate']",897,897
26,facebook_feeds.facebook_persona,26,"[u'mks', u'member']","[u'polyorg', u'candidate']",64,64
27,facebook_feeds.facebook_persona,27,"[u'mks', u'member']",None,None,905
28,facebook_feeds.facebook_persona,28,"[u'mks', u'member']","[u'polyorg', u'candidate']",874,874
29,facebook_feeds.facebook_persona,29,"[u'mks', u'member']","[u'polyorg', u'candidate']",832,832
30,facebook_feeds.facebook_persona,30,"[u'mks', u'member']","[u'polyorg', u'candidate']",90,90
31,facebook_feeds.facebook_persona,31,"[u'mks', u'member']","[u'polyorg', u'candidate']",875,875
32,facebook_feeds.facebook_persona,32,"[u'mks', u'member']","[u'polyorg', u'candidate']",122,122
