pk,model,party,start_date,end_date
1,mks.coalitionmembership,2,2009-03-04,None
2,mks.coalitionmembership,5,2009-03-04,None
3,mks.coalitionmembership,7,2009-03-04,None
4,mks.coalitionmembership,3,2009-03-04,2011-01-17
5,mks.coalitionmembership,4,2009-03-04,None
6,mks.coalitionmembership,13,2011-01-17,None
7,mks.coalitionmembership,12,2009-03-04,None
8,mks.coalitionmembership,6,2012-05-08,2012-07-19
9,mks.coalitionmembership,14,2013-03-18,None
10,mks.coalitionmembership,15,2013-03-18,None
11,mks.coalitionmembership,21,2013-03-18,None
12,mks.coalitionmembership,17,2013-03-18,None
