pk,model,member,name
1,mks.memberaltname,771,אבי דיכטר
2,mks.memberaltname,713,אורי אריאל
3,mks.memberaltname,832,אורלי לוי- אבקסיס
4,mks.memberaltname,832,אורלי לוי אבקסיס
5,mks.memberaltname,63,אלי ישי
6,mks.memberaltname,90,ביבי נתניהו
7,mks.memberaltname,20,בנימין בן אליעזר
8,mks.memberaltname,20,בנימין (פואד) בן אליעזר
9,mks.memberaltname,20,פואד בן אליעזר
10,mks.memberaltname,756,ג'מאל זחאלקה
11,mks.memberaltname,833,דני אילון
12,mks.memberaltname,836,דניאל בן סימון
13,mks.memberaltname,848,יוליה שמאלוב ברקוביץ
14,mks.memberaltname,848,יוליה שמאלוב-ברקוביץ
15,mks.memberaltname,14,בני בגין
16,mks.memberaltname,740,בוז'י הרצוג
17,mks.memberaltname,740,יצחק (בוז'י) הרצוג
18,mks.memberaltname,840,יעקב כץ
19,mks.memberaltname,1,יולי אדלשטיין
20,mks.memberaltname,841,מיכאל בן ארי
21,mks.memberaltname,786,סטס מיסז'ניקוב
22,mks.memberaltname,838,משה מטלון
23,mks.memberaltname,835,פאינה קירשנבאום
24,mks.memberaltname,835,פאינה פניה קירשנבאום
25,mks.memberaltname,758,ראלב מג'אדלה
26,mks.memberaltname,724,רוחמה אברהם
27,mks.memberaltname,735,רוני בראון
28,mks.memberaltname,810,שלמה מולה
