pk,model,member,party,start_date,end_date,position
1,mks.membership,752,1,2009-03-04,2013-02-05,3
2,mks.membership,9,2,2009-03-04,2013-02-05,16
3,mks.membership,826,2,2009-03-04,2013-02-05,21
4,mks.membership,230,2,2009-03-04,2013-02-05,23
5,mks.membership,204,3,2009-03-04,2011-01-17,999
6,mks.membership,782,3,2009-03-04,2013-02-05,5
7,mks.membership,100,3,2009-03-04,2010-01-10,999
8,mks.membership,814,4,2009-03-04,2013-02-05,4
9,mks.membership,103,4,2009-03-04,2011-02-06,999
10,mks.membership,833,5,2009-03-04,2013-02-05,7
11,mks.membership,832,5,2009-03-04,2013-02-05,6
12,mks.membership,820,6,2009-03-04,2013-02-05,22
13,mks.membership,821,6,2009-03-04,2013-02-05,26
14,mks.membership,727,6,2009-03-04,2013-02-05,21
15,mks.membership,784,7,2009-03-04,2013-02-05,11
16,mks.membership,830,2,2009-03-04,2013-02-05,26
17,mks.membership,842,8,2009-03-04,2013-02-05,4
18,mks.membership,805,5,2009-03-04,2013-02-05,8
19,mks.membership,837,5,2009-03-04,2013-02-05,12
20,mks.membership,713,1,2009-03-04,2013-02-05,2
21,mks.membership,807,9,2009-03-09,2013-02-05,2
22,mks.membership,780,8,2009-03-09,2013-02-05,3
23,mks.membership,844,10,2009-03-09,2013-02-05,4
24,mks.membership,64,3,2009-03-09,2013-02-05,7
25,mks.membership,771,6,2009-03-09,2013-02-05,999
26,mks.membership,91,6,2009-03-09,2013-02-05,10
27,mks.membership,810,6,2009-03-09,2013-02-05,19
28,mks.membership,35,4,2009-03-09,2013-02-05,2
29,mks.membership,723,2,2009-03-09,2013-02-05,19
30,mks.membership,200,11,2009-03-09,2013-02-05,2
31,mks.membership,843,11,2009-03-09,2013-02-05,3
32,mks.membership,845,12,2009-03-18,2013-02-05,3
33,mks.membership,831,2,2009-03-18,2013-02-05,27
34,mks.membership,78,5,2009-03-18,2013-02-05,5
35,mks.membership,838,5,2009-03-18,2013-02-05,13
36,mks.membership,846,9,2009-03-18,2013-02-05,3
37,mks.membership,717,3,2009-03-18,2011-01-17,999
38,mks.membership,96,6,2009-03-18,2012-05-17,999
39,mks.membership,756,9,2009-03-18,2013-02-05,1
40,mks.membership,208,10,2009-03-18,2013-02-05,2
41,mks.membership,829,2,2009-03-18,2013-02-05,25
42,mks.membership,194,12,2009-03-23,2013-02-05,2
43,mks.membership,847,12,2009-03-23,2013-02-05,1
44,mks.membership,14,2,2009-03-23,2013-02-05,5
45,mks.membership,828,2,2009-03-23,2013-02-05,24
46,mks.membership,825,2,2009-03-23,2013-02-05,18
47,mks.membership,823,2,2009-03-23,2013-02-05,8
48,mks.membership,88,2,2009-03-23,2013-02-05,17
49,mks.membership,827,2,2009-03-23,2013-02-05,22
50,mks.membership,824,2,2009-03-23,2013-02-05,999
51,mks.membership,114,2,2009-03-23,2013-02-05,4
52,mks.membership,790,5,2009-03-23,2013-02-05,4
53,mks.membership,793,5,2009-03-23,2013-02-05,11
54,mks.membership,785,5,2009-03-23,2013-02-05,15
55,mks.membership,45,6,2009-03-23,2010-11-09,999
56,mks.membership,822,6,2009-03-23,2013-02-05,28
57,mks.membership,819,6,2009-03-23,2013-02-05,20
58,mks.membership,818,6,2009-03-23,2013-02-05,18
59,mks.membership,776,6,2009-03-23,2013-02-05,27
60,mks.membership,206,7,2009-03-23,2013-02-05,9
61,mks.membership,197,8,2009-03-23,2013-02-05,1
62,mks.membership,5,11,2009-03-23,2011-03-25,999
63,mks.membership,809,6,2009-03-24,2013-02-05,23
64,mks.membership,13,10,2009-03-24,2013-02-05,999
65,mks.membership,69,2,2009-03-25,2013-02-05,11
66,mks.membership,817,6,2009-03-25,2013-02-05,15
67,mks.membership,772,6,2009-03-25,2013-02-05,11
68,mks.membership,839,4,2009-03-25,2013-02-05,5
69,mks.membership,800,10,2009-03-25,2013-02-05,1
70,mks.membership,738,2,2009-03-30,2013-02-05,10
71,mks.membership,725,2,2009-03-30,2013-02-05,2
72,mks.membership,20,3,2009-03-30,2013-02-05,8
73,mks.membership,740,3,2009-03-30,2013-02-05,2
74,mks.membership,802,5,2009-03-30,2013-02-05,14
75,mks.membership,724,6,2009-03-30,2013-02-05,8
76,mks.membership,735,6,2009-03-30,2013-02-05,5
77,mks.membership,213,6,2009-03-30,2012-05-01,999
78,mks.membership,720,6,2009-03-30,2013-02-05,2
79,mks.membership,119,6,2009-03-30,2013-02-05,7
80,mks.membership,63,7,2009-03-30,2013-02-05,1
81,mks.membership,65,7,2009-03-30,2013-02-05,3
82,mks.membership,835,5,2009-03-30,2013-02-05,10
83,mks.membership,840,1,2009-03-30,2013-02-05,1
84,mks.membership,1,2,2009-03-30,2013-02-05,12
85,mks.membership,768,2,2009-03-30,2013-02-05,20
86,mks.membership,734,2,2009-03-30,2013-02-05,3
87,mks.membership,731,2,2009-03-30,2013-02-05,6
88,mks.membership,212,2,2009-03-30,2013-02-05,14
89,mks.membership,70,2,2009-03-30,2013-02-05,13
90,mks.membership,90,2,2009-03-30,2013-02-05,1
91,mks.membership,695,2,2009-03-30,2013-02-05,9
92,mks.membership,122,2,2009-03-30,2013-02-05,7
93,mks.membership,836,3,2009-03-30,2013-02-05,11
94,mks.membership,28,3,2009-03-30,2011-01-17,999
95,mks.membership,105,3,2009-03-30,2013-02-05,999
96,mks.membership,123,3,2009-03-30,2011-01-17,999
97,mks.membership,697,3,2009-03-30,2010-04-14,999
98,mks.membership,216,4,2009-03-30,2013-02-05,1
99,mks.membership,834,5,2009-03-30,2013-02-05,9
100,mks.membership,728,6,2009-03-30,2013-02-05,13
101,mks.membership,8,6,2009-03-30,2013-02-05,3
102,mks.membership,730,6,2009-03-30,2012-01-25,999
103,mks.membership,795,7,2009-03-30,2013-02-05,10
104,mks.membership,210,7,2009-03-30,2013-02-05,4
105,mks.membership,751,7,2009-03-30,2013-02-05,6
106,mks.membership,222,7,2009-03-30,2013-02-05,5
107,mks.membership,214,5,2009-03-30,2013-02-05,1
108,mks.membership,77,5,2009-03-30,2013-02-05,2
109,mks.membership,786,5,2009-03-30,2013-02-05,3
110,mks.membership,774,6,2009-03-30,2013-02-05,16
111,mks.membership,7,7,2009-03-30,2013-02-05,7
112,mks.membership,841,1,2009-03-31,2013-02-05,4
113,mks.membership,50,7,2009-03-31,2013-02-05,8
114,mks.membership,789,8,2009-04-06,2013-02-05,2
115,mks.membership,16,6,2009-04-06,2011-03-18,999
116,mks.membership,781,6,2009-04-06,2013-02-05,25
117,mks.membership,804,6,2009-04-06,2013-02-05,24
118,mks.membership,797,3,2009-04-06,2013-02-05,4
119,mks.membership,791,7,2009-04-07,2013-02-05,2
120,mks.membership,115,6,2009-05-05,2009-07-02,999
121,mks.membership,848,6,2009-07-06,2013-02-05,29
122,mks.membership,849,3,2010-01-10,2011-01-17,999
123,mks.membership,758,3,2010-04-13,2013-02-05,15
124,mks.membership,850,6,2010-11-09,2013-02-05,30
125,mks.membership,28,13,2011-01-17,2013-02-05,1
126,mks.membership,204,13,2011-01-17,2012-02-14,999
127,mks.membership,123,13,2011-01-17,2013-02-05,12
128,mks.membership,849,13,2011-01-17,2013-02-05,14
129,mks.membership,717,13,2011-01-17,2013-02-05,13
130,mks.membership,201,11,2011-03-25,2013-02-05,4
131,mks.membership,851,6,2011-03-18,2013-02-05,32
132,mks.membership,852,6,2012-01-25,2013-02-05,33
134,mks.membership,853,6,2012-05-03,2013-02-05,34
135,mks.membership,754,4,2011-02-06,2013-02-05,6
136,mks.membership,812,13,2012-02-14,2013-02-05,16
137,mks.membership,854,6,2012-05-17,2013-02-05,35
138,mks.membership,773,6,2013-02-05,2013-02-05,999
139,mks.membership,870,17,2013-02-05,None,999
140,mks.membership,884,17,2013-02-05,None,999
141,mks.membership,904,17,2013-02-05,None,999
142,mks.membership,901,16,2013-02-05,None,999
143,mks.membership,863,17,2013-02-05,None,999
144,mks.membership,899,21,2013-02-05,None,999
145,mks.membership,882,16,2013-02-05,None,999
146,mks.membership,41,18,2013-02-05,None,999
147,mks.membership,867,24,2013-02-05,None,999
148,mks.membership,872,15,2013-02-05,None,999
149,mks.membership,877,15,2013-02-05,None,999
150,mks.membership,890,21,2013-02-05,None,999
151,mks.membership,893,17,2013-02-05,None,999
152,mks.membership,865,16,2013-02-05,None,999
153,mks.membership,857,23,2013-02-05,None,999
154,mks.membership,878,15,2013-02-05,None,999
155,mks.membership,902,14,2013-02-05,None,999
156,mks.membership,897,15,2013-02-05,None,999
157,mks.membership,898,17,2013-02-05,None,999
158,mks.membership,868,15,2013-02-05,None,999
159,mks.membership,861,19,2013-02-05,None,999
160,mks.membership,887,15,2013-02-05,None,999
161,mks.membership,894,15,2013-02-05,None,999
162,mks.membership,874,15,2013-02-05,None,999
163,mks.membership,862,16,2013-02-05,None,999
164,mks.membership,895,20,2013-02-05,None,999
165,mks.membership,876,15,2013-02-05,None,999
166,mks.membership,896,16,2013-02-05,None,999
167,mks.membership,881,16,2013-02-05,None,999
168,mks.membership,873,17,2013-02-05,None,999
169,mks.membership,885,14,2013-02-05,None,999
170,mks.membership,880,16,2013-02-05,None,999
171,mks.membership,92,17,2013-02-05,None,999
172,mks.membership,864,17,2013-02-05,None,999
173,mks.membership,903,16,2013-02-05,None,999
174,mks.membership,891,15,2013-02-05,None,999
175,mks.membership,888,20,2013-02-05,None,999
176,mks.membership,875,15,2013-02-05,None,999
177,mks.membership,866,16,2013-02-05,None,999
178,mks.membership,739,21,2013-02-05,None,999
179,mks.membership,900,15,2013-02-05,None,999
180,mks.membership,905,15,2013-02-05,None,999
181,mks.membership,860,15,2013-02-05,None,999
182,mks.membership,869,15,2013-02-05,None,999
183,mks.membership,892,15,2013-02-05,None,999
184,mks.membership,889,15,2013-02-05,None,999
185,mks.membership,879,17,2013-02-05,None,999
186,mks.membership,886,15,2013-02-05,None,999
187,mks.membership,859,14,2013-02-05,None,999
188,mks.membership,883,15,2013-02-05,None,999
189,mks.membership,871,20,2013-02-05,None,999
190,mks.membership,45,14,2013-02-05,None,999
191,mks.membership,213,21,2013-02-05,None,999
192,mks.membership,103,19,2013-02-05,None,999
193,mks.membership,214,14,2013-02-05,None,999
194,mks.membership,797,16,2013-02-05,None,999
195,mks.membership,800,23,2013-02-05,None,999
196,mks.membership,784,18,2013-02-05,None,999
197,mks.membership,830,14,2013-02-05,None,999
198,mks.membership,845,17,2013-02-05,None,999
199,mks.membership,713,17,2013-02-05,None,999
200,mks.membership,814,19,2013-02-05,None,999
201,mks.membership,832,14,2013-02-05,None,999
202,mks.membership,208,23,2013-02-05,None,999
203,mks.membership,200,20,2013-02-05,None,999
204,mks.membership,64,16,2013-02-05,None,999
205,mks.membership,63,18,2013-02-05,None,999
206,mks.membership,210,18,2013-02-05,None,999
207,mks.membership,791,18,2013-02-05,2014-06-22,999
208,mks.membership,90,14,2013-02-05,None,999
209,mks.membership,20,16,2013-02-05,None,999
210,mks.membership,725,14,2013-02-05,None,999
211,mks.membership,723,14,2013-02-05,None,999
212,mks.membership,734,14,2013-02-05,None,999
213,mks.membership,756,24,2013-02-05,None,999
214,mks.membership,780,22,2013-02-05,None,999
215,mks.membership,7,18,2013-02-05,None,999
216,mks.membership,805,14,2013-02-05,None,999
217,mks.membership,828,14,2013-02-05,None,999
218,mks.membership,768,14,2013-02-05,None,999
219,mks.membership,201,20,2013-02-05,None,999
220,mks.membership,212,14,2013-02-05,None,999
221,mks.membership,837,14,2013-02-05,None,999
222,mks.membership,789,22,2013-02-05,None,999
223,mks.membership,846,24,2013-02-05,None,999
224,mks.membership,695,14,2013-02-05,None,999
225,mks.membership,1,14,2013-02-05,None,999
226,mks.membership,216,19,2013-02-05,None,999
227,mks.membership,751,18,2013-02-05,None,999
228,mks.membership,790,14,2013-02-05,None,999
229,mks.membership,740,16,2013-02-05,None,999
230,mks.membership,50,18,2013-02-05,None,999
231,mks.membership,65,18,2013-02-05,None,999
232,mks.membership,826,14,2013-02-05,None,999
233,mks.membership,754,19,2013-02-05,None,999
234,mks.membership,781,25,2013-02-05,None,999
235,mks.membership,69,14,2013-02-05,None,999
236,mks.membership,70,14,2013-02-05,None,999
237,mks.membership,119,21,2013-02-05,None,999
238,mks.membership,197,22,2013-02-05,None,999
239,mks.membership,831,14,2013-02-05,None,999
240,mks.membership,839,19,2013-02-05,None,999
241,mks.membership,844,23,2013-02-05,None,999
242,mks.membership,35,19,2013-02-05,None,999
243,mks.membership,823,14,2013-02-05,None,999
244,mks.membership,222,18,2013-02-05,None,999
245,mks.membership,818,16,2013-02-05,None,999
246,mks.membership,843,20,2013-02-05,None,999
247,mks.membership,206,18,2013-02-05,None,999
248,mks.membership,78,14,2013-02-05,None,999
249,mks.membership,122,14,2013-02-05,None,999
250,mks.membership,77,14,2013-02-05,None,999
251,mks.membership,105,21,2013-02-05,None,999
252,mks.membership,842,22,2013-02-05,None,999
253,mks.membership,835,14,2013-02-05,None,999
254,mks.membership,825,14,2013-02-05,None,999
255,mks.membership,114,14,2013-02-05,2014-06-14,999
256,mks.membership,793,14,2013-02-05,None,999
257,mks.membership,720,25,2013-02-05,None,999
258,mks.membership,782,16,2013-02-05,None,999
259,mks.membership,829,14,2014-06-15,None,999
260,mks.membership,878,29,None,None,999
261,mks.membership,714,32,None,None,999
262,mks.membership,785,14,None,None,999
263,mks.membership,702,2,None,None,999
264,mks.membership,702,14,None,None,999
265,mks.membership,702,27,None,None,999
