pk,model,number_of_seats,name,end_date,knesset,is_coalition,logo,number_of_members,start_date
1,mks.party,4,האיחוד הלאומי,2010-02-03,18,False,,4,2009-03-04
2,mks.party,27,הליכוד,2010-02-03,18,True,,27,2009-03-04
3,mks.party,8,העבודה,2010-02-03,18,False,,9,2009-03-04
4,mks.party,5,יהדות התורה,2010-02-03,18,True,,5,2009-03-04
5,mks.party,15,ישראל ביתנו,2010-02-03,18,True,,15,2009-03-04
6,mks.party,28,קדימה,2010-02-03,18,False,,29,2009-03-04
7,mks.party,11,"ש""ס",2010-02-03,18,True,,11,2009-03-04
8,mks.party,4,"חד""ש",2010-02-03,18,False,,4,2009-03-04
9,mks.party,3,"בל""ד",2010-02-03,18,False,,3,2009-03-09
10,mks.party,4,"רע""מ-תע""ל",2010-02-03,18,False,,4,2009-03-09
11,mks.party,3,מרצ,2010-02-03,18,False,,3,2009-03-09
12,mks.party,3,הבית היהודי,2010-02-03,18,True,,3,2009-03-18
13,mks.party,5,העצמאות,None,18,True,,5,2011-01-17
14,mks.party,31,הליכוד – ישראל ביתנו,None,19,True,,31,None
15,mks.party,19,יש עתיד,None,19,True,,19,None
16,mks.party,15,העבודה,None,19,False,,15,None
17,mks.party,12,הבית היהודי,None,19,True,,12,None
18,mks.party,11,ש”ס,None,19,False,,11,None
19,mks.party,7,יהדות התורה,None,19,False,,7,None
20,mks.party,6,מרצ,None,19,False,,6,None
21,mks.party,6,התנועה,None,19,True,,6,None
22,mks.party,4,חזית דמוקרטית לשלום ושוויון,None,19,False,,4,None
23,mks.party,4, רע”מ-תע”ל,None,19,False,,4,None
24,mks.party,3,ברית לאומית דמוקרטית,None,19,False,,3,None
25,mks.party,2,קדימה,None,19,False,,2,None
27,mks.party,None,הליכוד,None,20,True,,30,None
28,mks.party,None,מרצ,None,20,False,,5,None
29,mks.party,None,יש עתיד,None,20,False,,11,None
30,mks.party,None,הבית היהודי,None,20,True,,8,None
31,mks.party,None,ישראל ביתנו,None,20,False,,6,None
32,mks.party,None,כולנו,None,20,True,,10,None
33,mks.party,None,המחנה הציוני ,None,20,False,,24,None
34,mks.party,None,יהדות התורה,None,20,True,,6,None
35,mks.party,None,הרשימה המשותפת,None,20,False,,13,None
36,mks.party,None,תנועת ש”ס,None,20,True,,7,None
