pk,model,member,date,hours
4549,mks.weeklypresence,214,2009-11-15,17.0
4550,mks.weeklypresence,214,2009-11-29,0.0
4551,mks.weeklypresence,214,2009-12-13,7.0
4552,mks.weeklypresence,214,2009-12-20,9.0
4553,mks.weeklypresence,214,2009-12-27,0.0
4554,mks.weeklypresence,214,2010-01-03,9.0
4555,mks.weeklypresence,214,2010-01-10,7.0
4556,mks.weeklypresence,214,2010-01-17,5.0
4557,mks.weeklypresence,214,2010-01-24,9.0
4558,mks.weeklypresence,214,2010-01-31,7.0
4559,mks.weeklypresence,214,2010-02-07,2.0
4560,mks.weeklypresence,214,2010-02-14,12.0
4561,mks.weeklypresence,214,2010-02-21,0.0
4562,mks.weeklypresence,214,2010-02-28,12.0
4563,mks.weeklypresence,214,2010-03-07,6.0
4564,mks.weeklypresence,214,2010-03-14,15.0
4565,mks.weeklypresence,214,2010-03-21,0.0
4566,mks.weeklypresence,214,2010-04-04,0.0
4567,mks.weeklypresence,214,2010-04-11,3.0
4568,mks.weeklypresence,214,2010-04-18,0.0
4569,mks.weeklypresence,214,2010-04-25,8.0
4570,mks.weeklypresence,214,2010-05-02,0.0
4571,mks.weeklypresence,214,2010-05-09,2.0
4572,mks.weeklypresence,214,2010-05-16,6.0
4573,mks.weeklypresence,771,2009-11-15,35.0
4574,mks.weeklypresence,771,2009-11-29,0.0
4575,mks.weeklypresence,771,2009-12-13,20.0
4576,mks.weeklypresence,771,2009-12-20,22.0
4577,mks.weeklypresence,771,2009-12-27,10.0
4578,mks.weeklypresence,771,2010-01-03,27.0
4579,mks.weeklypresence,771,2010-01-10,22.0
4580,mks.weeklypresence,771,2010-01-17,14.0
4581,mks.weeklypresence,771,2010-01-24,49.0
4582,mks.weeklypresence,771,2010-01-31,23.0
4583,mks.weeklypresence,771,2010-02-07,0.0
4584,mks.weeklypresence,771,2010-02-14,43.0
4585,mks.weeklypresence,771,2010-02-21,17.0
4586,mks.weeklypresence,771,2010-02-28,22.0
4587,mks.weeklypresence,771,2010-03-07,23.0
4588,mks.weeklypresence,771,2010-03-14,36.0
4589,mks.weeklypresence,771,2010-03-21,0.0
4590,mks.weeklypresence,771,2010-04-04,0.0
4591,mks.weeklypresence,771,2010-04-11,4.0
4592,mks.weeklypresence,771,2010-04-18,6.0
4593,mks.weeklypresence,771,2010-04-25,16.0
4594,mks.weeklypresence,771,2010-05-02,0.0
4595,mks.weeklypresence,771,2010-05-09,20.0
4596,mks.weeklypresence,771,2010-05-16,10.0
4597,mks.weeklypresence,797,2009-11-15,18.0
4598,mks.weeklypresence,797,2009-11-29,6.0
4599,mks.weeklypresence,797,2009-12-13,10.0
4600,mks.weeklypresence,797,2009-12-20,16.0
4601,mks.weeklypresence,797,2009-12-27,10.0
4602,mks.weeklypresence,797,2010-01-03,21.0
4603,mks.weeklypresence,797,2010-01-10,10.0
4604,mks.weeklypresence,797,2010-01-17,15.0
4605,mks.weeklypresence,797,2010-01-24,17.0
4606,mks.weeklypresence,797,2010-01-31,10.0
4607,mks.weeklypresence,797,2010-02-07,13.0
4608,mks.weeklypresence,797,2010-02-14,8.0
4609,mks.weeklypresence,797,2010-02-21,9.0
4610,mks.weeklypresence,797,2010-02-28,3.0
4611,mks.weeklypresence,797,2010-03-07,7.0
4612,mks.weeklypresence,797,2010-03-14,26.0
4613,mks.weeklypresence,797,2010-03-21,0.0
4614,mks.weeklypresence,797,2010-04-04,1.0
4615,mks.weeklypresence,797,2010-04-11,0.0
4616,mks.weeklypresence,797,2010-04-18,1.0
