pk,model,party,name,slug
1,persons.person,1,בנימין נתניהו,binyamin-netanyahu
2,persons.person,1,אביגדור ליברמן,avigdor-liberman
3,persons.person,1,גדעון סער,gidon-saar
4,persons.person,1,יאיר שמיר,yair-shamir
5,persons.person,1,גלעד ארדן,gilad-ardan
6,persons.person,1,סילבן שלום,silvan-shalom
7,persons.person,1,עוזי לנדאו,uzi-landao
8,persons.person,1,ישראל כץ,israel-katz
9,persons.person,1,דני דנון,dani-dannon
10,persons.person,1,סופה לנדבר,sofa-landver
11,persons.person,1,ראובן ריבלין,reuven-rivlin
12,persons.person,1,משה (בוגי) יעלון,moshe-yeelon
13,persons.person,1,יצחק אהרונוביץ,itshak-ahronovic
14,persons.person,1,זאב אלקין,zeev-alkin
15,persons.person,1,ציפי חוטובלי,tzipi-hotobeli
16,persons.person,1,אורלי לוי-אבקסיס,orli-levy-abeksis
17,persons.person,1,יריב לוין,yariv-lewin
18,persons.person,1,יולי-יואל אדלשטיין,yuli-edelstein
19,persons.person,1,פאינה קירשנבאום,faina-kirschenbaum
20,persons.person,1,חיים כץ,chaim-katz
21,persons.person,1,מירי רגב,miri-regev
22,persons.person,1,דוד רותם,david-rotem
23,persons.person,1,משה זלמן פייגלין,moshe-feiglin
24,persons.person,1,יובל שטייניץ,yuval-shteinitz
25,persons.person,1,רוברט אילטוב,robert-iltov
26,persons.person,1,צחי הנגבי,tsachi-hanegbi
27,persons.person,1,לימור לבנת,limor-livnat
28,persons.person,1,חמד עמאר,hamed-amar
29,persons.person,1,אופיר אקוניס,ofir-akunis
30,persons.person,1,גילה גמליאל שמעון אוחיון,gila-gamliel
31,persons.person,1,שמעון אוחיון,shimon-ohion
32,persons.person,2,יאיר לפיד,yair-lapid
33,persons.person,2,שי פירון,shai-pirron
34,persons.person,2,יעל גרמן,yael-german
35,persons.person,2,מאיר כהן,meir-cohen
36,persons.person,2,יעקב פרי,yaacov-perry
37,persons.person,2,עפר שלח,ofer-shelah
38,persons.person,2,עליזה לביא,aliza-lavie
39,persons.person,2,יואל רזבוזוב,yoel-razvozov
40,persons.person,2,עדי קול,adi-kol
41,persons.person,2,קארין אלהרר,karine-elharrar
42,persons.person,2,מיקי לוי,miki-levy
43,persons.person,2,שמעון סולומון,shimon-solomon
44,persons.person,2,רות קלדרון,ruth-kaldaron
45,persons.person,2,פנינה תמנו-שטה,pnina-tamano
46,persons.person,2,רינה פרנקל,rina-frenkel
47,persons.person,2,יפעת קריב,yifat-kariv
48,persons.person,2,דב לפימן,dov-lipman
49,persons.person,2,בועז טופורובסקי,boaz-toporevski
50,persons.person,2,רונן הופמן,ronen-huffman
51,persons.person,3,נפתלי בנט,naftali-bennet
52,persons.person,3,אורי יהודה אריאל,uri-ariel
53,persons.person,3,ניסן סלומינסקי,nissan-slomiansky
54,persons.person,3,אלי בן-דהן,eli-ben-dahan
55,persons.person,3,איילת שקד,ayelet-shaked
56,persons.person,3,אורי אורבך,ori-urbach
57,persons.person,3,אבי וורצמן,avi-wertzman
58,persons.person,3,מרדכי יוגב,mordechay-yogev
59,persons.person,3,אורית סטרוק,orit-struk
60,persons.person,3,יוני שטבון,yoni-chetboun
61,persons.person,3,שולי מועלם-רפאלי,shuli-mualem-rafaeli
62,persons.person,3,זבולון כלפה,zvulun-kalfa
63,persons.person,4,ציפי לבני,tsipi-livni
64,persons.person,4,עמרם מצנע,amram-mitzna
65,persons.person,4,עמיר פרץ,amir-perez
66,persons.person,4,אלעזר שטרן,elazar-stern
67,persons.person,4,מאיר שטרית,meir-shitrit
68,persons.person,4,דוד צור,david-tsur
69,persons.person,5,שלי יחימוביץ,shelly-yachimovich
70,persons.person,5,יצחק (בוז'י) הרצוג,itshak-hertzog
71,persons.person,5,איתן כבל,eitan-cabel
72,persons.person,5,מרב מיכאלי,merav-michaeli
73,persons.person,5,בנימין (פואד) בן-אליעזר,binyamin-ben-eliezer
74,persons.person,5,חיליק בר,hilik-bar
75,persons.person,5,עמר בר-לב,omer-bar-lev
76,persons.person,5,סתיו שפיר,stav-shaffir
77,persons.person,5,אבישי ברוורמן,avishay-braverman
78,persons.person,5,אראל מרגלית,erel-margalit
79,persons.person,5,איציק שמולי,itsik-shmoli
80,persons.person,5,מיקי רוזנטל,miki-rossental
81,persons.person,5,מיכל בירן,michal-biran
82,persons.person,5,נחמן שי,nahman-shai
83,persons.person,5,משה מזרחי,moshe-mizrahi
84,persons.person,6,אליהו (אלי) ישי,eli-ishai
85,persons.person,6,אריה דרעי,aryeh-derei
86,persons.person,6,אריאל אטיאס,ariel-atias
87,persons.person,6,יצחק כהן,itshak-cohen
88,persons.person,6,משולם נהרי,meshulam-nehari
89,persons.person,6,אמנון כהן,amnon-cohen
90,persons.person,6,יעקב מרגי,yaacov-margi
91,persons.person,6,דוד אזולאי,david-azulay
92,persons.person,6,יצחק וקנין,itshak-vaknin
93,persons.person,6,נסים זאב,nissim-zeev
94,persons.person,6,אברהם מיכאלי,avraham-michaeli
95,persons.person,7,יעקב ליצמן,yaacov-litzman
96,persons.person,7,משה גפני,moshe-gafni
97,persons.person,7,מאיר פרוש,meir-prosh
98,persons.person,7,אורי מקלב,uri-makelb
99,persons.person,7,מנחם אליעזר מוזס,menahem-moses
100,persons.person,7,ישראל אייכלר,israel-eichler
101,persons.person,7,יעקב אשר,yaacov-asher
102,persons.person,8,זהבה גלאון,zehava-galon
103,persons.person,8,אילן גילאון,illan-gillon
104,persons.person,8,ניצן הורוביץ,nitzan-horovitz
105,persons.person,8,מיכל רוזין,michal-rosin
106,persons.person,8,עיסאווי פריג',esawi-freige
107,persons.person,8,תמר זנדברג,tamar-zandberg
108,persons.person,9,מוחמד ברכה,mohammed-baraka
109,persons.person,9,חנא סוייד,hana-sweid
110,persons.person,9,דב חנין,dov-hanin
111,persons.person,9,עפו אגבאריה,afo-agbaria
112,persons.person,10,אברהים צרצור,ibrahim-zarzur
113,persons.person,10,אחמד טיבי,ahmed-tibi
114,persons.person,10,מסעוד גנאים,masoud-gnaim
115,persons.person,10,טלב אבו-עראר,taleb-abu-arar
116,persons.person,11,ג'מאל זחאלקה,jmal-zhalke
117,persons.person,11,חנין זועבי,hanin-zoabi
118,persons.person,11,באסל גטאס,basel-ghattas
119,persons.person,12,שאול מופז,shaul-mofaz
120,persons.person,12,ישראל חסון,israel-hasson
