pk,model,ordinal,person,votes,candidates_list
1,polyorg.candidate,3,1,None,26
41,polyorg.candidate,1,41,None,34
45,polyorg.candidate,9,45,None,26
63,polyorg.candidate,1,63,None,35
64,polyorg.candidate,10,64,15903,27
69,polyorg.candidate,4,69,None,26
90,polyorg.candidate,1,90,None,26
105,polyorg.candidate,8,105,0,27
122,polyorg.candidate,6,122,None,26
200,polyorg.candidate,2,200,None,32
201,polyorg.candidate,1,201,None,32
208,polyorg.candidate,1,208,None,37
212,polyorg.candidate,17,212,None,26
213,polyorg.candidate,2,213,0,27
214,polyorg.candidate,1,214,None,29
230,polyorg.candidate,24,230,None,26
695,polyorg.candidate,13,695,None,26
720,polyorg.candidate,1,720,None,39
723,polyorg.candidate,14,723,None,26
731,polyorg.candidate,1,731,None,31
734,polyorg.candidate,2,734,None,26
740,polyorg.candidate,1,740,0,27
768,polyorg.candidate,8,768,None,26
771,polyorg.candidate,20,771,None,26
780,polyorg.candidate,3,780,None,36
782,polyorg.candidate,3,782,22865,27
823,polyorg.candidate,7,823,None,26
826,polyorg.candidate,12,826,None,26
828,polyorg.candidate,10,828,None,26
830,polyorg.candidate,15,830,None,26
831,polyorg.candidate,5,831,None,26
846,polyorg.candidate,2,846,None,38
864,polyorg.candidate,1,864,None,28
865,polyorg.candidate,7,865,0,27
867,polyorg.candidate,3,867,None,38
868,polyorg.candidate,99,868,None,30
877,polyorg.candidate,99,877,None,30
878,polyorg.candidate,1,878,None,30
882,polyorg.candidate,12,882,15421,27
888,polyorg.candidate,3,888,None,32
895,polyorg.candidate,4,895,None,32
900,polyorg.candidate,99,900,None,30
903,polyorg.candidate,4,903,21588,27
907,polyorg.candidate,11,907,None,26
908,polyorg.candidate,16,908,None,26
909,polyorg.candidate,18,909,None,26
910,polyorg.candidate,19,910,None,26
911,polyorg.candidate,21,911,None,26
912,polyorg.candidate,22,912,None,26
913,polyorg.candidate,23,913,None,26
914,polyorg.candidate,25,914,None,26
915,polyorg.candidate,99,915,0,27
916,polyorg.candidate,6,916,None,31
917,polyorg.candidate,4,917,None,31
918,polyorg.candidate,5,918,None,31
919,polyorg.candidate,2,919,None,31
920,polyorg.candidate,3,920,None,31
921,polyorg.candidate,7,921,None,31
922,polyorg.candidate,99,922,None,30
901,polyorg.candidate,5,901,18193,27
866,polyorg.candidate,6,866,17955,27
881,polyorg.candidate,9,881,17936,27
923,polyorg.candidate,99,923,0,27
896,polyorg.candidate,13,896,14427,27
924,polyorg.candidate,14,924,7915,27
925,polyorg.candidate,15,925,6950,27
926,polyorg.candidate,16,926,0,27
927,polyorg.candidate,17,927,8495,27
928,polyorg.candidate,18,928,5467,27
862,polyorg.candidate,19,862,7111,27
818,polyorg.candidate,20,818,11983,27
929,polyorg.candidate,21,929,0,27
930,polyorg.candidate,22,930,6676,27
931,polyorg.candidate,23,931,11972,27
932,polyorg.candidate,24,932,0,27
933,polyorg.candidate,25,933,0,27
713,polyorg.candidate,2,713,None,28
904,polyorg.candidate,3,904,None,28
863,polyorg.candidate,4,863,None,28
92,polyorg.candidate,5,92,None,28
845,polyorg.candidate,6,845,None,28
934,polyorg.candidate,7,934,None,28
879,polyorg.candidate,8,879,None,28
935,polyorg.candidate,9,935,None,28
873,polyorg.candidate,10,873,None,28
870,polyorg.candidate,11,870,None,28
936,polyorg.candidate,12,936,None,28
937,polyorg.candidate,13,937,None,28
884,polyorg.candidate,14,884,None,28
938,polyorg.candidate,15,938,None,28
939,polyorg.candidate,16,939,None,28
940,polyorg.candidate,17,940,None,28
893,polyorg.candidate,18,893,None,28
941,polyorg.candidate,19,941,None,28
942,polyorg.candidate,20,942,None,28
871,polyorg.candidate,5,871,None,32
943,polyorg.candidate,6,943,None,32
944,polyorg.candidate,7,944,None,32
945,polyorg.candidate,8,945,None,32
832,polyorg.candidate,2,832,1,29
78,polyorg.candidate,3,78,1,29
946,polyorg.candidate,4,946,1,29
947,polyorg.candidate,5,947,1,29
837,polyorg.candidate,6,837,1,29
793,polyorg.candidate,7,793,1,29
948,polyorg.candidate,8,948,1,29
949,polyorg.candidate,9,949,1,29
950,polyorg.candidate,10,950,1,29
785,polyorg.candidate,11,785,1,29
813,polyorg.candidate,12,813,1,29
951,polyorg.candidate,13,951,1,29
859,polyorg.candidate,14,859,1,29
952,polyorg.candidate,15,952,1,29
953,polyorg.candidate,8,953,None,31
954,polyorg.candidate,9,954,None,31
955,polyorg.candidate,10,955,None,31
956,polyorg.candidate,11,956,None,31
899,polyorg.candidate,99,899,None,30
886,polyorg.candidate,99,886,None,30
868,polyorg.candidate,99,868,None,30
900,polyorg.candidate,99,900,None,30
874,polyorg.candidate,99,874,None,30
875,polyorg.candidate,99,875,None,30
887,polyorg.candidate,99,887,None,30
897,polyorg.candidate,99,897,None,30
860,polyorg.candidate,99,860,None,30
876,polyorg.candidate,99,876,None,30
892,polyorg.candidate,99,892,None,30
756,polyorg.candidate,1,756,None,38
957,polyorg.candidate,2,957,None,36
958,polyorg.candidate,1,958,None,36
959,polyorg.candidate,4,959,None,36
960,polyorg.candidate,5,960,None,36
961,polyorg.candidate,4,961,None,38
216,polyorg.candidate,1,216,None,33
898,polyorg.candidate,99,898,None,35
